,,2025,2025,2030,2030,2035,2035,2040,2040,2045,2045,2050,2050
,,min,max,min,max,min,max,min,max,min,max,min,max
country,carrier,,,,,,,,,,,,
BE,offwind-all,2300,2300,,8000,,8000,,8000,,8000,,8000
BG,offwind-all,0,0,0,,0,,0,,0,,0,
DE,offwind-all,9500,9500,9500,,9500,,9500,,9500,,9500,
DK,offwind-all,3200,3200,3200,,3200,,3200,,3200,,3200,
EE,offwind-all,0,0,0,,0,,0,,0,,0,
ES,offwind-all,0,0,0,,0,,0,,0,,0,
FI,offwind-all,44,44,44,,44,,44,,44,,44,
FR,offwind-all,1500,1500,1500,,1500,,1500,,1500,,1500,
GR,offwind-all,0,0,0,,0,,0,,0,,0,
HR,offwind-all,0,0,0,,0,,0,,0,,0,
IE,offwind-all,25,25,25,,25,,25,,25,,25,
IT,offwind-all,30,30,30,,30,,30,,30,,30,
LT,offwind-all,0,0,0,,0,,0,,0,,0,
LV,offwind-all,0,0,0,,0,,0,,0,,0,
NL,offwind-all,5500,5500,5500,,5500,,5500,,5500,,5500,
NO,offwind-all,100,100,100,,100,,100,,100,,100,
PL,offwind-all,0,0,0,,0,,0,,0,,0,
PT,offwind-all,25,25,25,,25,,25,,25,,25,
RO,offwind-all,0,0,0,,0,,0,,0,,0,
SE,offwind-all,300,300,300,,300,,300,,300,,300,
GB,offwind-all,16000,16000,16000,,16000,,16000,,16000,,16000,
AT,solar-all,9900,9900,9900,,9900,,9900,,9900,,9900,
BE,solar-all,12600,12600,16500,,16500,,25500,,25500,,31000,
BG,solar-all,5984,5984,5984,,5984,,5984,,5984,,5984,
CH,solar-all,8000,8000,8000,,8000,,8000,,8000,,8000,
CZ,solar-all,5500,5500,5500,,5500,,5500,,5500,,5500,
DE,solar-all,100000,100000,100000,,100000,,100000,,100000,,100000,
DK,solar-all,4800,4800,4800,,4800,,4800,,4800,,4800,
EE,solar-all,1350,1350,1350,,1350,,1350,,1350,,1350,
ES,solar-all,36300,36300,36300,,36300,,36300,,36300,,36300,
FI,solar-all,1400,1400,1400,,1400,,1400,,1400,,1400,
FR,solar-all,30000,30000,30000,,30000,,30000,,30000,,30000,
GB,solar-all,21500,21500,21500,,21500,,21500,,21500,,21500,
GR,solar-all,11500,11500,11500,,11500,,11500,,11500,,11500,
HR,solar-all,1250,1250,1250,,1250,,1250,,1250,,1250,
HU,solar-all,8400,8400,8400,,8400,,8400,,8400,,8400,
IE,solar-all,2345,2345,2345,,2345,,2345,,2345,,2345,
IT,solar-all,37000,37000,37000,,37000,,37000,,37000,,37000,
LT,solar-all,2600,2600,2600,,2600,,2600,,2600,,2600,
LU,solar-all,525,525,525,,525,,525,,525,,525,
LV,solar-all,600,600,600,,600,,600,,600,,600,
NL,solar-all,26000,26000,26000,,26000,,26000,,26000,,26000,
NO,solar-all,780,780,780,,780,,780,,780,,780,
PL,solar-all,20200,20200,20200,,20200,,20200,,20200,,20200,
PT,solar-all,5850,5850,5850,,5850,,5850,,5850,,5850,
RO,solar-all,4750,4750,4750,,4750,,4750,,4750,,4750,
SE,solar-all,5000,5000,5000,,5000,,5000,,5000,,5000,
SI,solar-all,1350,1350,1350,,1350,,1350,,1350,,1350,
SK,solar-all,1000,1000,1000,,1000,,1000,,1000,,1000,
AT,onwind,4050,4050,4050,,4050,,4050,,4050,,4050,
BE,onwind,3500,3500,4200,,4200,,4200,,4200,,4200,
BG,onwind,700,700,700,,700,,700,,700,,700,
CH,onwind,100,100,100,,100,,100,,100,,100,
CZ,onwind,360,360,360,,360,,360,,360,,360,
DE,onwind,63650,63650,63650,,63650,,63650,,63650,,63650,
DK,onwind,5500,5500,5500,,5500,,5500,,5500,,5500,
EE,onwind,700,700,700,,700,,700,,700,,700,
ES,onwind,32000,32000,32000,,32000,,32000,,32000,,32000,
FI,onwind,8400,8400,8400,,8400,,8400,,8400,,8400,
FR,onwind,23200,23200,23200,,23200,,23200,,23200,,23200,
GB,onwind,16500,16500,16500,,16500,,16500,,16500,,16500,
GR,onwind,5500,5500,5500,,5500,,5500,,5500,,5500,
HR,onwind,1200,1200,1200,,1200,,1200,,1200,,1200,
HU,onwind,330,330,330,,330,,330,,330,,330,
IE,onwind,5000,5000,5000,,5000,,5000,,5000,,5000,
IT,onwind,13000,13000,13000,,13000,,13000,,13000,,13000,
LT,onwind,1900,1900,1900,,1900,,1900,,1900,,1900,
LU,onwind,230,230,230,,230,,230,,230,,230,
LV,onwind,180,180,180,,180,,180,,180,,180,
NL,onwind,8000,8000,8000,,8000,,8000,,8000,,8000,
NO,onwind,5100,5100,5100,,5100,,5100,,5100,,5100,
PL,onwind,10100,10100,10100,,10100,,10100,,10100,,10100,
PT,onwind,5800,5800,5800,,5800,,5800,,5800,,5800,
RO,onwind,3500,3500,3500,,3500,,3500,,3500,,3500,
SE,onwind,17100,17100,17100,,17100,,17100,,17100,,17100,
SI,onwind,10,10,10,,10,,10,,10,,10,
SK,onwind,20,20,20,,20,,20,,20,,20,
